Kecamatan,,,
,Jumlah Penduduk Berdasarkan Jenis Kelamin dan Kecamatan (Jiwa),,
,Laki-laki,Perempuan,Laki-laki dan Perempuan
,2022,2022,2022
Teluk Betung Barat,21995,20647,42642
Teluk Betung Timur,28863,27038,55901
Teluk Betung Selatan,22660,21823,44483
Bumi Waras,33812,31730,65542
Panjang,42755,41096,83851
Tanjung Karang Timur,22743,21954,44697
Kedamaian,30504,29580,60084
Teluk Betung Utara,28248,27319,55567
Tanjung Karang Pusat,29570,28459,58029
Enggal,14939,14788,29727
Tanjung Karang Barat,34679,33341,68020
Kemiling,46701,45206,91907
Langkapura,23011,22197,45208
Kedaton,30081,29412,59493
Rajabasa,30566,29190,59756
Tanjung Senang,32600,31907,64507
Labuhan Ratu,27374,26990,54364
Sukarame,35592,34681,70273
Sukabumi,40232,38492,78724
Way Halim,38946,38216,77162
Kota Bandar Lampung,615871,594066,1209937
