Kecamatan,,,
,Jumlah Penduduk Berdasarkan Jenis Kelamin dan Kecamatan (Jiwa),,
,Laki-laki,Perempuan,Laki-laki dan Perempuan
,2024,2024,2024
Teluk Betung Barat,19610,18575,38185
Teluk Betung Timur,25025,23567,48592
Teluk Betung Selatan,19239,18836,38075
Bumi Waras,28750,27351,56101
Panjang,36685,35376,72061
Tanjung Karang Timur,18610,18421,37031
Kedamaian,26262,25907,52169
Teluk Betung Utara,24716,24407,49123
Tanjung Karang Pusat,24859,24204,49063
Enggal,12207,12455,24662
Tanjung Karang Barat,31008,30765,61773
Kemiling,43173,42650,85823
Langkapura,21838,21527,43365
Kedaton,25547,25450,50997
Rajabasa,27921,27397,55318
Tanjung Senang,30886,30985,61871
Labuhan Ratu,23624,23633,47257
Sukarame,33691,33106,66797
Sukabumi,36809,35865,72674
Way Halim,33405,33322,66727
Kota Bandar Lampung,543865,533799,1077664
